scrap_date,update_date,price,city,location,product_type,furnish_type,number_of_rooms,floor_number,number_of_floors,size,year_of_construction
"November 15, 2020",Actualizat în 05.12.2019,131.500,Iasi,Copou ,House,N/A,5,N/A,N/A,122 mp,2019
"November 15, 2020",Actualizat în 13.10.2020,79.900,Iasi,Bucium ,House,N/A,3,N/A,N/A,80 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 19.10.2020,118.000,Iasi,Tatarasi ,House,N/A,3,N/A,N/A,65 mp,2010
"November 15, 2020",Actualizat în 03.11.2020,190.000,Iasi,Galata ,House,Unfurnished,6,N/A,N/A,220 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 03.11.2020,145.000,Iasi,Bucium ,House,Unfurnished,5,N/A,N/A,143 mp,2021 (in constructie)
"November 15, 2020",Actualizat ieri,195.000,Iasi,Tatarasi ,House,Unfurnished,4,N/A,N/A,130 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 19.08.2020,95.000,Iasi,Pacurari ,House,Unfurnished,4,N/A,N/A,115 mp,2019
"November 15, 2020",Actualizat în 26.10.2020,79.900,Iasi,Pacurari ,House,N/A,4,N/A,N/A,142 mp,2015
"November 15, 2020",Actualizat în 09.11.2020,95.000,Iasi,Popas Pacurari ,House,Unfurnished,4,N/A,N/A,110 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 09.11.2020,130.000,Iasi,Galata ,House,Unfurnished,4,N/A,N/A,118 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 13.11.2020,75.000,Iasi,Valea Adânca ,House,N/A,5,N/A,N/A,180 mp,2020 (in constructie)
"November 15, 2020",Actualizat azi,110.000,Iasi,Bucium ,House,N/A,3,N/A,N/A,90 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 07.05.2020,180.000,Iasi,Pacurari ,House,Furnished,4,N/A,N/A,215 mp,2009
"November 15, 2020",Actualizat în 22.07.2020,67.000,Iasi,Bucium ,House,Furnished,2,N/A,N/A,90 mp,2010
"November 15, 2020",Actualizat în 12.11.2020,119.900,Iasi,Galata ,House,N/A,4,N/A,N/A,90.33 mp,2020
"November 15, 2020",Actualizat în 05.11.2020,122.500,Iasi,Miroslava ,House,N/A,4,N/A,N/A,125 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 10.11.2020,77.000,Iasi,Bucium ,House,Unfurnished,3,N/A,N/A,74 mp,2020 (in constructie)
"November 15, 2020",Actualizat în 05.11.2020,109.000,Iasi,Lunca Cetatuii ,House,N/A,4,N/A,N/A,130 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,68.000,Iasi,Valea Adânca ,House,N/A,3,N/A,N/A,75 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 30.10.2020,99.500,Iasi,Central ,House,N/A,4,N/A,N/A,128 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,117.500,Iasi,Bucium ,House,N/A,4,N/A,N/A,115 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 10.11.2020,72.000,Iasi,Cug ,House,Unfurnished,3,N/A,N/A,78 mp,2017
"November 15, 2020",Actualizat în 05.11.2020,85.000,Iasi,Lunca Cetatuii ,House,N/A,4,N/A,N/A,110 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 11.11.2020,125.000,Iasi,Miroslava ,House,N/A,4,N/A,N/A,125 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,68.000,Iasi,Miroslava ,House,N/A,3,N/A,N/A,78 mp,2020 (finalizata)
"November 15, 2020",Actualizat ieri,80.000,Iasi,Popas Pacurari ,House,N/A,4,N/A,N/A,100 mp,2019
"November 15, 2020",Actualizat ieri,95.000,Iasi,Cug ,House,N/A,4,N/A,N/A,120 mp,2020 (finalizata)
"November 15, 2020",Actualizat în 05.11.2020,260.000,Iasi,Bucium ,House,Furnished,6,N/A,N/A,190 mp,2006
